Federal Fiscal Year,Federal Fiscal Quarter,Public Dollars Outstanding in billions,Public Recipients in millions,Private Dollars Outstanding in billions,Private Recipients in millions,Proprietary Dollars Outstanding in billions,Proprietary Recipients in millions,Foreign Dollars Outstanding in billions,Foreign Recipients in millions,Other Dollars Outstanding in billions,Other Recipients in millions,,
2017,Q2,$563.8 ,23.9,$434.7,12.8,$221.6 ,11.7,$13.5,0.1,$106.9 ,9.0,,
2017,Q3,$561.7 ,23.6,$435.0,12.7,$224.2 ,11.7,$13.7,0.1,$107.5 ,9.0,,
