borrow_amt,dollars_outstanding,num_borrowers
<5K,$20.80 ,8
5K to 10K,$56.70 ,7.8
10K to 20K,$136.50 ,9.5
20K to 40K,$265.00 ,9.3
40K to 60K,$191.90 ,3.9
60K to 80K,$157.60 ,2.3
80K-100K,$95.30 ,1.1
100K to 200K,$251.10 ,1.8
200K+,$167.20 ,0.6
