age,Dollars Outstanding in billions,Borrowers in millions
18 or Younger,$1.2 ,0.2
19 to 24,$125.3,8.0
25 to 34,$477.8 ,15.2
35 to 49,$490.2,13.5
50 to 61,$194.1 ,5.6
62 and Older,$53.2,1.7
Not Reported,$0.2 ,0.1
