,opeid,name,state,prog-length,school-type-num,dual-num-2014,dual-denom-2014,drate-2014,prate-2014,ethnic-code,program,dual-num-2013,dual-denom-2013,drate-2013,prate-2013,dual-num-2012,dual-denom-2012,drate-2012,prate-2012,school-type-label,non_default,community-schools
650,1998,SOUTHEAST KENTUCKY COMMUNITY AND TECHNICAL COLLEGE               ,KY,5,1,232,683,33.9,P,5,D,202,635,31.8,P,146,451,32.3,P,public,,True
3137,21466,SOUTH MOUNTAIN COMMUNITY COLLEGE                                 ,AZ,5,1,343,1029,33.3,A,3,D,256,845,30.2,A,164,574,28.5,A,public,,True
2568,9430,TRI-COUNTY COMMUNITY COLLEGE                                     ,NC,5,1,32,101,31.6,A,5,D,15,52,28.8,A,4,7,57.1,B,public,,True
1845,3816,SOUTHERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE           ,WV,5,1,28,90,31.1,P,5,D,23,94,24.4,P,24,114,21.0,P,public,,True
4322,41190,EASTERN WEST VIRGINIA COMMUNITY & TECHNICAL COLLEGE              ,WV,5,1,35,115,30.4,A,5,D,22,94,23.4,A,16,45,35.5,A,public,,True
22,1038,SNEAD STATE COMMUNITY COLLEGE                                    ,AL,5,1,113,372,30.3,A,5,D,36,106,33.9,A,0,0,0.0,A,public,2012,True
2128,5754,ROWAN-CABARRUS COMMUNITY COLLEGE                                 ,NC,5,1,263,880,29.8,A,5,D,122,496,24.5,A,25,87,28.7,A,public,,True
2466,8558,BEAUFORT COUNTY COMMUNITY COLLEGE                                ,NC,5,1,105,356,29.4,A,5,D,54,229,23.5,A,20,71,28.1,A,public,,True
648,1996,BIG SANDY COMMUNITY AND TECHNICAL COLLEGE                        ,KY,5,1,282,960,29.3,P,5,D,256,947,27.0,P,258,952,27.1,P,public,,True
2473,8612,ROBESON COMMUNITY COLLEGE                                        ,NC,5,1,143,490,29.1,A,5,D,129,388,33.2,A,11,30,36.6,A,public,,True
2283,7275,EASTERN GATEWAY COMMUNITY COLLEGE                                ,OH,5,1,192,662,29.0,A,5,D,143,561,25.4,A,97,322,30.1,A,public,,True
2640,9903,VANCE - GRANVILLE COMMUNITY COLLEGE                              ,NC,5,1,97,335,28.9,A,5,D,61,256,23.8,A,17,47,36.1,A,public,,True
1998,4835,CALDWELL COMMUNITY COLLEGE & TECHNICAL INSTITUTE                 ,NC,5,1,217,753,28.8,A,5,D,284,877,32.3,A,178,632,28.1,A,public,,True
1418,3221,TREASURE VALLEY COMMUNITY COLLEGE                                ,OR,5,1,353,1248,28.2,A,5,D,305,1238,24.6,A,301,1192,25.2,A,public,,True
2054,5258,HAWAII COMMUNITY COLLEGE                                         ,HI,5,1,79,281,28.1,P,5,D,92,328,28.0,P,80,289,27.6,P,public,,True
2405,8085,MCDOWELL TECHNICAL COMMUNITY COLLEGE                             ,NC,5,1,39,139,28.0,A,5,D,43,141,30.4,A,7,23,30.4,B,public,,True
2474,8613,ROANOKE CHOWAN COMMUNITY COLLEGE                                 ,NC,5,1,10,36,27.7,A,5,D,13,50,26.0,A,7,17,41.1,B,public,,True
2392,7986,HALIFAX COMMUNITY COLLEGE                                        ,NC,5,1,82,298,27.5,A,5,D,109,396,27.5,A,100,304,32.8,A,public,,True
2403,8081,CARTERET COMMUNITY COLLEGE                                       ,NC,5,1,68,248,27.4,A,5,D,50,211,23.6,A,63,229,27.5,A,public,,True
4221,39573,BLUE RIDGE COMMUNITY AND TECHNICAL COLLEGE                       ,WV,5,1,262,956,27.4,A,5,D,201,776,25.9,A,187,620,30.1,A,public,,True
4267,40385,PIERPONT COMMUNITY & TECHNICAL COLLEGE                           ,WV,5,1,353,1286,27.4,A,5,D,377,1363,27.6,A,335,1160,28.8,A,public,,True
1278,2980,WAYNE COMMUNITY COLLEGE                                          ,NC,5,1,183,667,27.4,A,5,D,86,307,28.0,A,15,67,22.3,A,public,,True
1269,2964,SOUTHEASTERN COMMUNITY COLLEGE                                   ,NC,5,1,103,377,27.3,A,5,D,96,396,24.2,A,141,431,32.7,A,public,,True
916,2404,EAST CENTRAL COMMUNITY COLLEGE                                   ,MS,5,1,178,652,27.3,A,5,D,168,799,21.0,A,144,759,18.9,A,public,,True
4,1007,CENTRAL ALABAMA COMMUNITY COLLEGE                                ,AL,5,1,184,674,27.2,P,5,D,146,659,22.1,P,144,656,21.9,P,public,,True
1992,4742,CENTRAL NEW MEXICO COMMUNITY COLLEGE                             ,NM,5,1,1258,4663,26.9,A,3,D,1427,5147,27.7,A,1495,5165,28.9,A,public,,True
4223,39603,NEW RIVER COMMUNITY AND TECHNICAL COLLEGE                        ,WV,5,1,205,760,26.9,A,5,D,177,695,25.4,A,211,767,27.5,A,public,,True
2542,9231,WASHINGTON COUNTY COMMUNITY COLLEGE                              ,ME,5,1,37,138,26.8,A,5,D,38,123,30.8,A,37,107,34.5,A,public,,True
3417,23154,NORTHEAST TEXAS COMMUNITY COLLEGE                                ,TX,5,1,145,543,26.7,A,5,D,120,517,23.2,A,76,267,28.4,A,public,,True
2809,11197,MAYLAND COMMUNITY COLLEGE                                        ,NC,5,1,19,71,26.7,A,5,D,16,54,29.6,A,3,6,50.0,B,public,,True
644,1990,ASHLAND COMMUNITY AND TECHNICAL COLLEGE                          ,KY,5,1,270,1016,26.5,P,5,D,319,1100,29.0,P,293,1060,27.6,P,public,,True
1999,4838,GUILFORD TECHNICAL COMMUNITY COLLEGE                             ,NC,5,1,1049,3966,26.4,A,5,D,901,3591,25.0,A,616,2445,25.1,A,public,,True
2404,8083,HAYWOOD COMMUNITY COLLEGE                                        ,NC,5,1,50,190,26.3,A,5,D,25,100,25.0,A,4,13,30.7,B,public,,True
1280,2982,WESTERN PIEDMONT COMMUNITY COLLEGE                               ,NC,5,1,77,292,26.3,A,5,D,113,384,29.4,A,156,404,38.6,A,public,,True
2059,5271,SOUTHCENTRAL KENTUCKY COMMUNITY AND TECHNICAL COLLEGE            ,KY,5,1,303,1156,26.2,P,5,D,367,1284,28.5,P,354,1207,29.3,P,public,,True
2465,8557,NASH COMMUNITY COLLEGE                                           ,NC,5,1,108,411,26.2,A,5,D,71,305,23.2,A,16,67,23.8,A,public,,True
2002,4852,CLARK STATE COMMUNITY COLLEGE                                    ,OH,5,1,600,2287,26.2,A,5,D,494,2057,24.0,A,534,2108,25.3,A,public,,True
2425,8278,TERRA STATE COMMUNITY COLLEGE                                    ,OH,5,1,278,1060,26.2,A,5,D,339,1236,27.4,A,335,1190,28.1,A,public,,True
2713,10388,READING AREA COMMUNITY COLLEGE                                   ,PA,5,1,464,1788,25.9,P,5,D,439,1793,24.4,P,430,1670,25.7,P,public,,True
1944,4062,PITT COMMUNITY COLLEGE                                           ,NC,5,1,587,2274,25.8,A,5,D,424,1712,24.7,A,322,1360,23.6,A,public,,True
2393,7987,BLADEN COMMUNITY COLLEGE                                         ,NC,5,1,20,78,25.6,A,5,D,43,157,27.3,A,13,40,32.5,A,public,,True
821,2261,CHARLES STEWART MOTT COMMUNITY COLLEGE                           ,MI,5,1,958,3728,25.6,A,5,D,1058,4268,24.7,A,922,3707,24.8,A,public,,True
1938,4033,ASHEVILLE BUNCOMBE TECHNICAL COMMUNITY COLLEGE                   ,NC,5,1,274,1072,25.5,A,5,D,166,787,21.0,A,121,613,19.7,A,public,,True
2492,8855,EDGECOMBE COMMUNITY COLLEGE                                      ,NC,5,1,184,719,25.5,A,5,D,82,469,17.4,A,94,382,24.6,A,public,,True
4708,42534,CLOVIS COMMUNITY COLLEGE                                         ,CA,5,1,65,256,25.3,P,5,D,52,289,17.9,P,80,343,23.3,S,public,,True
649,1997,SOMERSET COMMUNITY COLLEGE                                       ,KY,5,1,548,2158,25.3,P,5,D,709,2677,26.4,P,694,2375,29.2,P,public,,True
2214,6799,CRAVEN COMMUNITY COLLEGE                                         ,NC,5,1,78,308,25.3,A,5,D,72,315,22.8,A,32,226,14.1,A,public,,True
2241,6962,HAZARD COMMUNITY AND TECHNICAL COLLEGE                           ,KY,5,1,177,699,25.3,P,5,D,216,757,28.5,P,209,657,31.8,P,public,,True
141,1209,HARTNELL COMMUNITY COLLEGE                                       ,CA,5,1,11,44,25.0,A,3,D,30,106,28.3,A,9,44,20.4,A,public,,True
1419,3222,UMPQUA COMMUNITY COLLEGE                                         ,OR,5,1,232,931,24.9,A,5,D,309,1213,25.4,A,342,1343,25.4,A,public,,True
2939,12870,SOUTHERN STATE COMMUNITY COLLEGE                                 ,OH,5,1,284,1144,24.8,A,5,D,273,1098,24.8,A,381,1338,28.4,A,public,,True
1395,3188,CENTRAL OREGON COMMUNITY COLLEGE                                 ,OR,5,1,610,2455,24.8,A,5,D,673,2659,25.3,A,680,2448,27.7,A,public,,True
2691,10182,ROGUE COMMUNITY COLLEGE                                          ,OR,5,1,313,1258,24.8,A,5,D,274,1167,23.4,A,250,1018,24.5,A,public,,True
639,1979,WEST KENTUCKY COMMUNITY AND TECHNICAL COLLEGE                    ,KY,5,1,279,1127,24.7,P,5,D,301,1132,26.5,P,229,998,22.9,P,public,,True
116,1176,WEST HILLS COMMUNITY COLLEGE                                     ,CA,5,1,45,182,24.7,P,3,D,37,158,23.4,P,49,168,29.1,P,public,,True
2427,8303,GATEWAY COMMUNITY COLLEGE                                        ,AZ,5,1,390,1578,24.7,A,5,D,346,1684,20.5,A,308,1690,18.2,A,public,,True
2353,7687,JAMES SPRUNT COMMUNITY COLLEGE                                   ,NC,5,1,84,341,24.6,A,5,D,76,265,28.6,A,47,183,25.6,A,public,,True
2109,5533,SAINT PAUL COLLEGE - A COMMUNITY & TECHNICAL COLLEGE             ,MN,5,1,671,2720,24.6,A,5,D,756,2818,26.8,A,666,2625,25.3,A,public,,True
