,opeid,name,state,prog-length,school-type-num,dual-num-2014,dual-denom-2014,drate-2014,prate-2014,ethnic-code,program,dual-num-2013,dual-denom-2013,drate-2013,prate-2013,dual-num-2012,dual-denom-2012,drate-2012,prate-2012,school-type-label,non_default,community-schools
3213,21879,ASHTABULA COUNTY TECHNICAL AND CAREER CAMPUS                     ,OH,3,1,11,87,12.6,A,5,D,5,88,5.6,A,5,86,5.8,A,public,,False
2666,10052,JEFFERSON LEWIS BOCES PROGRAM OF PRACTICAL NURSING               ,NY,3,1,7,65,10.7,A,5,D,6,66,9.0,A,6,40,15.0,A,public,,False
3101,21245,FRANKLIN TECHNOLOGY CENTER                                       ,MO,3,1,16,109,14.6,A,5,D,22,114,19.2,A,35,162,21.6,A,public,,False
3099,21240,ORANGE ULSTER BOCES SCHOOL OF PRACTICAL NURSING                  ,NY,3,1,7,59,11.8,A,5,D,6,49,12.2,A,4,66,6.0,A,public,,False
2314,7473,CHOFFIN CAREER & TECHNICAL CENTER                                ,OH,3,1,14,88,15.9,A,5,D,5,58,8.6,A,7,71,9.8,A,public,,False
2903,12386,SOUTHEASTERN REGIONAL VOCATIONAL TECHNICAL SCHOOL                ,MA,3,1,13,107,12.1,A,5,D,6,81,7.4,A,11,91,12.0,A,public,,False
2890,12293,VEEB NASSAU COUNTY SCHOOL OF PRACTICAL NURSING                   ,NY,3,1,21,137,15.3,A,5,D,25,153,16.3,A,10,162,6.1,A,public,,False
2064,5288,KIRKSVILLE AREA TECHNICAL CENTER                                 ,MO,3,1,9,59,15.2,B,5,D,8,68,11.7,B,3,56,5.3,B,public,,False
2880,12187,BLACKSTONE VALLEY VOCATIONAL REGIONAL SCHOOL DISTRICT            ,MA,3,1,2,37,5.4,B,5,D,1,20,5.0,B,0,7,0.0,B,public,2012,False
2063,5279,GREATER LOWELL REGIONAL VOCATIONAL TECHNICAL SCHOOL              ,MA,3,1,6,41,14.6,A,5,D,0,38,0.0,A,1,39,2.5,A,public,2013,False
2844,11735,PIKE LINCOLN TECHNICAL CENTER                                    ,MO,3,1,7,93,7.5,B,5,D,3,30,10.0,A,3,38,7.8,A,public,,False
2905,12407,SCHUYLER STEUBEN CHEMUNG TIOGA ALLEGANY BOCES                    ,NY,3,1,13,72,18.0,P,5,D,7,74,9.4,P,12,96,12.5,P,public,,False
2821,11523,MORRIS COUNTY SCHOOL OF TECHNOLOGY                               ,NJ,3,1,7,56,12.5,B,5,D,7,60,11.6,B,3,45,6.6,B,public,,False
2381,7916,FRANKLIN COUNTY CAREER AND TECHNOLOGY CENTER                     ,PA,3,1,1,52,1.9,A,5,D,3,41,7.3,A,3,52,5.7,A,public,,False
2793,11026,WARRENSBURG AREA CAREER CENTER                                   ,MO,3,1,3,33,9.0,A,5,D,4,69,5.7,B,8,76,10.5,B,public,,False
2787,10963,GREENE COUNTY CAREER & TECHNOLOGY CENTER                         ,PA,3,1,9,78,11.5,B,5,D,13,85,15.2,B,4,30,13.3,A,public,,False
2786,10952,PUTNAM-WESTCHESTER BOCES                                         ,NY,3,1,6,72,8.3,B,5,D,3,35,8.5,A,14,98,14.2,B,public,,False
2748,10641,SOUTHERN WESTCHESTER BOCES                                       ,NY,3,1,4,70,5.7,A,5,D,4,83,4.8,A,2,66,3.0,A,public,,False
2775,10860,GREATER ALTOONA CAREER & TECHNOLOGY CENTER                       ,PA,3,1,22,132,16.6,A,5,D,22,130,16.9,A,16,102,15.6,A,public,,False
2415,8194,AKRON SCHOOL OF PRACTICAL NURSING                                ,OH,3,1,12,134,8.9,B,5,D,3,36,8.3,A,6,74,8.1,A,public,,False
3380,22892,COLUMBIA AREA CAREER CENTER                                      ,MO,3,1,8,98,8.1,B,5,D,5,54,9.2,A,7,48,14.5,B,public,,False
2065,5289,WAYNESVILLE CAREER CENTER                                        ,MO,3,1,1,37,2.7,A,5,D,4,47,8.5,A,1,32,3.1,A,public,,False
2925,12652,ONONDAGA CORTLAND MADISON BOCES                                  ,NY,3,1,94,543,17.3,A,5,D,86,580,14.8,A,80,565,14.1,A,public,,False
3089,21174,BECK SCHOOL OF PRACTICAL NURSING                                 ,IL,3,1,2,75,2.6,A,5,D,2,77,2.5,A,5,57,8.7,A,public,,False
3088,21173,GREAT OAKS CAREER CAMPUSES-SCARLET OAKS                          ,OH,3,1,15,211,7.1,P,5,D,31,223,13.9,P,38,213,17.8,P,public,,False
3086,21169,UPPER VALLEY JOINT VOCATIONAL SCHOOL                             ,OH,3,1,9,54,16.6,A,5,D,3,44,6.8,A,4,49,8.1,A,public,,False
2321,7529,CHESTER COUNTY INTERMEDIATE UNIT PRACTICAL NURSING PROGRAM       ,PA,3,1,11,79,13.9,A,5,D,5,78,6.4,A,7,96,7.2,A,public,,False
3076,21109,CATTARAUGUS/ALLEGANY/ERIE/WYOMING BOCES                          ,NY,3,1,8,46,17.3,P,5,D,8,44,18.1,P,9,73,12.3,P,public,,False
3062,21043,OTSEGO DELAWARE SCHOHARIE GREENE BOCES                           ,NY,3,1,8,39,20.5,A,5,D,3,40,7.5,A,19,117,16.2,B,public,,False
2922,12589,ERIE 1 BOARD OF COOPERATIVE EDUCATIONAL SERVICES                 ,NY,3,1,27,205,13.1,A,5,D,28,193,14.5,A,24,177,13.5,A,public,,False
2078,5330,FAYETTE COUNTY CAREER & TECHNICAL INSTITUTE                      ,PA,3,1,6,63,9.5,A,5,D,5,52,9.6,A,7,48,14.5,A,public,,False
1983,4669,UPPER CAPE COD REGIONAL TECHNICAL SCHOOL                         ,MA,3,1,9,117,7.6,B,5,D,2,43,4.6,A,4,51,7.8,A,public,,False
3008,20733,GALLIA JACKSON VINTON JOINT SCHOOL ADULT EDUCATION               ,OH,3,1,4,51,7.8,A,5,D,4,83,4.8,A,8,57,14.0,A,public,,False
2987,20561,FOUR RIVERS CAREER CENTER                                        ,MO,3,1,13,80,16.2,B,5,D,6,30,20.0,A,11,81,13.5,B,public,,False
2942,12881,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL                ,MA,3,1,4,32,12.5,A,5,D,10,83,12.0,B,5,34,14.7,A,public,,False
2703,10323,HANNAH E MULLINS SCHOOL OF PRACTICAL NURSING                     ,OH,3,1,4,43,9.3,A,5,D,4,63,6.3,A,9,78,11.5,A,public,,False
2931,12783,OSWEGO COUNTY BOCES                                              ,NY,3,1,8,47,17.0,A,5,D,8,109,7.3,B,6,35,17.1,A,public,,False
3047,20984,HERKIMER COUNTY  BOCES PRACTICAL NURSING PROGRAM                 ,NY,3,1,13,69,18.8,A,5,D,8,63,12.6,A,9,73,12.3,A,public,,False
3399,23047,TRI-RIVERS CAREER CENTER                                         ,OH,3,1,15,102,14.7,A,5,D,9,83,10.8,A,8,87,9.1,A,public,,False
3312,22512,SCHUYLKILL TECHNOLOGY CENTERS                                    ,PA,3,1,14,79,17.7,A,5,D,13,72,18.0,A,11,78,14.1,A,public,,False
2092,5399,MONMOUTH COUNTY VOCATIONAL SCHOOL DISTRICT                       ,NJ,3,1,7,33,21.2,P,5,D,11,110,10.0,P,13,136,9.5,P,public,,False
3721,30151,ALLIANCE CITY SCHOOLS CAREER CENTRE                              ,OH,3,1,20,76,26.3,A,5,D,20,96,20.8,A,21,88,23.8,A,public,,False
2502,8886,PORTAGE LAKES CAREER CENTER                                      ,OH,3,1,6,59,10.1,P,5,D,6,78,7.6,P,9,71,12.6,P,public,,False
3765,30514,AUBURN CAREER CENTER                                             ,OH,3,1,12,54,22.2,A,5,D,8,56,14.2,A,0,0,0.0,A,public,2012,False
3403,23062,VENANGO COUNTY AREA VOCATIONAL TECHNICAL SCHOOL                  ,PA,3,1,9,60,15.0,A,5,D,5,66,7.5,A,5,51,9.8,A,public,,False
2093,5424,SOUTH CENTRAL CAREER CENTER                                      ,MO,3,1,12,52,23.0,A,5,D,13,55,23.6,A,14,55,25.4,A,public,,False
3789,30686,SPECIAL SCHOOL DISTRICT OF ST. LOUIS COUNTY                      ,MO,3,1,11,135,8.1,A,5,D,15,110,13.6,A,19,98,19.3,A,public,,False
3815,30847,VENTURA ADULT AND CONTINUING EDUCATION                           ,CA,3,1,4,30,13.3,A,5,D,5,54,9.2,A,7,61,11.4,A,public,,False
3838,30986,CAREER TECHNOLOGY CENTER OF LACKAWANNA COUNTY                    ,PA,3,1,5,59,8.4,P,5,D,2,37,5.4,P,16,81,19.7,P,public,,False
3855,31040,SHAWSHEEN VALLEY SCHOOL OF PRACTICAL NURSING                     ,MA,3,1,2,35,5.7,A,5,D,4,30,13.3,A,8,79,10.1,B,public,,False
2094,5426,SIKESTON CAREER AND TECHNOLOGY CENTER                            ,MO,3,1,5,38,13.1,A,5,D,3,41,7.3,A,13,81,16.0,B,public,,False
3878,31153,GENESEE-LIVINGSTON-STEUBEN-WYOMING BOCES                         ,NY,3,1,13,119,10.9,A,5,D,15,148,10.1,A,5,105,4.7,A,public,,False
3883,31170,ASHLAND COUNTY - WEST HOLMES CAREER CENTER - ADULT EDUCATION     ,OH,3,1,4,73,5.4,A,5,D,4,72,5.5,A,14,86,16.2,A,public,,False
3899,31284,DELAWARE COUNTY TECHNICAL SCHOOL                                 ,PA,3,1,7,82,8.5,A,5,D,10,74,13.5,A,6,79,7.5,A,public,,False
3644,25864,TRUMBULL CAREER AND TECHNICAL CENTER-ADULT TRAINING CENTER       ,OH,3,1,20,116,17.2,A,5,D,29,137,21.1,A,20,166,12.0,A,public,,False
2096,5430,POPLAR BLUFF TECHNICAL CAREER CENTER                             ,MO,3,1,7,35,20.0,A,5,D,18,82,21.9,B,6,31,19.3,A,public,,False
2097,5438,SALINE COUNTY CAREER CENTER                                      ,MO,3,1,7,62,11.2,B,5,D,5,56,8.9,B,8,56,14.2,B,public,,False
4048,35353,HUNTINGDON COUNTY CAREER AND TECHNOLOGY CENTER                   ,PA,3,1,3,49,6.1,B,5,D,2,44,4.5,B,2,38,5.2,B,public,,False
4061,35614,SUSQUEHANNA COUNTY CAREER & TECHNOLOGY CENTER                    ,PA,3,1,9,48,18.7,B,5,D,7,34,20.5,B,6,38,15.7,B,public,,False
4129,37343,JOHN D. ROCKEFELLER IV CAREER CENTER                             ,WV,3,1,5,45,11.1,B,5,D,6,46,13.0,B,10,49,20.4,B,public,,False
2533,9156,WAYNE COUNTY SCHOOLS CAREER CENTER                               ,OH,3,1,16,72,22.2,P,5,D,14,113,12.3,P,13,120,10.8,P,public,,False
4192,38763,CULPEPER COSMETOLOGY TRAINING CENTER                             ,VA,3,1,19,55,34.5,B,5,D,15,42,35.7,B,12,32,37.5,B,public,,False
4247,39993,BEAUMONT ADULT SCHOOL                                            ,CA,3,1,9,68,13.2,A,5,D,13,72,18.0,A,8,64,12.5,A,public,,False
2105,5519,DIMAN REGIONAL VOCATIONAL TECHNICAL INSTITUTE                    ,MA,3,1,6,42,14.2,A,5,D,6,80,7.5,B,1,53,1.8,A,public,,False
4315,41177,"MONROE 2 - ORLEANS BOCES, CENTER FOR WORKFORCE DEVELOPMENT       ",NY,3,1,19,115,16.5,A,5,D,19,96,19.7,A,15,103,14.5,A,public,,False
4456,41498,SOMERSET COUNTY TECHNOLOGY CENTER                                ,PA,3,1,4,36,11.1,A,5,D,5,39,12.8,A,3,32,9.3,B,public,,False
4474,41532,SOUTHERN WORCESTER COUNTY REGIONAL VOC SCHOOL DISTRICT           ,MA,3,1,8,65,12.3,B,5,D,7,50,14.0,B,3,32,9.3,B,public,,False
2106,5523,BLUE HILLS REGIONAL TECHNICAL SCHOOL                             ,MA,3,1,7,61,11.4,A,5,D,2,47,4.2,A,5,44,11.3,A,public,,False
4650,41943,COLTON-REDLANDS-YUCAIPA REGIONAL OCCUPATIONAL PROGRAM            ,CA,3,1,4,45,8.8,A,5,D,0,4,0.0,B,0,0,0.0,A,public,2013 2012,False
3911,31603,AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY                         ,AK,3,1,9,57,15.7,A,5,D,7,69,10.1,A,9,67,13.4,A,public,,False
3618,25686,MAHONING COUNTY CAREER AND TECHNICAL CENTER                      ,OH,3,1,3,48,6.2,A,5,D,11,36,30.5,B,5,17,29.4,B,public,,False
2756,10710,CAPITAL AREA CAREER CENTER                                       ,IL,3,1,11,148,7.4,A,5,D,12,118,10.1,A,11,162,6.7,A,public,,False
3612,25607,PICKAWAY ROSS COUNTY JOINT VOCATIONAL SCHOOL DISTRICT            ,OH,3,1,15,154,9.7,A,5,D,23,156,14.7,A,33,154,21.4,A,public,,False
2477,8653,JEFFERSON COUNTY DUBOIS AREA VOCATIONAL TECHL SCHOOL PRACTICAL NU,PA,3,1,4,41,9.7,A,5,D,3,32,9.3,A,4,37,10.8,A,public,,False
2083,5365,YORK COUNTY SCHOOL OF TECHNOLOGY                                 ,PA,3,1,8,70,11.4,A,5,D,3,59,5.0,A,6,60,10.0,A,public,,False
3482,23502,INDIANA COUNTY TECHNOLOGY CENTER                                 ,PA,3,1,13,78,16.6,A,5,D,15,88,17.0,A,7,65,10.7,A,public,,False
3613,25623,APOLLO CAREER CENTER                                             ,OH,3,1,23,120,19.1,A,5,D,8,58,13.7,A,7,38,18.4,A,public,,False
3483,23515,NORTHERN CAREER INSTITUTE                                        ,OH,3,1,4,52,7.6,A,5,D,9,61,14.7,A,7,55,12.7,A,public,,False
3488,23528,POLARIS CAREER CENTER - ADULT EDUCATION DEPARTMENT               ,OH,3,1,11,128,8.5,A,5,D,19,204,9.3,A,18,118,15.2,A,public,,False
3455,23363,KNOX COUNTY CAREER CENTER                                        ,OH,3,1,20,136,14.7,A,5,D,29,147,19.7,A,26,130,20.0,A,public,,False
3489,23531,NORTHERN TIER CAREER CENTER                                      ,PA,3,1,4,40,10.0,A,5,D,7,35,20.0,A,6,34,17.6,A,public,,False
3442,23303,LEBANON COUNTY CAREER AND TECHNOLOGY CENTER                      ,PA,3,1,15,77,19.4,A,5,D,9,88,10.2,A,6,102,5.8,A,public,,False
3490,23542,SCIOTO COUNTY CAREER TECHNICAL CENTER                            ,OH,3,1,13,182,7.1,A,5,D,10,146,6.8,A,13,162,8.0,A,public,,False
3481,23501,WESTERN AREA CAREER & TECHNOLOGY CENTER                          ,PA,3,1,17,84,20.2,A,5,D,7,75,9.3,A,9,64,14.0,A,public,,False
3503,23623,MERCER COUNTY CAREER CENTER                                      ,PA,3,1,4,38,10.5,P,5,D,9,43,20.9,P,4,38,10.5,P,public,,False
2658,10006,GREATER JOHNSTOWN AREA VOCATIONAL TECHNICAL SCHOOL               ,PA,3,1,17,142,11.9,A,5,D,19,158,12.0,A,24,205,11.7,A,public,,False
3522,24975,CLINTON TECHNICAL SCHOOL                                         ,MO,3,1,5,71,7.0,B,5,D,8,71,11.2,B,7,44,15.9,B,public,,False
3547,25227,EASTLAND-FAIRFIELD CAREER AND TECHNICAL SCHOOLS                  ,OH,3,1,23,176,13.0,A,5,D,17,109,15.5,A,41,246,16.6,A,public,,False
3549,25237,OCEAN COUNTY VOCATIONAL - TECHNICAL SCHOOLS                      ,NJ,3,1,20,118,16.9,P,5,D,16,118,13.5,P,13,116,11.2,P,public,,False
3556,25298,WILKES BARRE AREA CAREER AND TECHNICAL CENTER PRACTICAL NURSING P,PA,3,1,14,121,11.5,A,5,D,8,103,7.7,A,19,115,16.5,A,public,,False
3413,23130,CASS CAREER CENTER                                               ,MO,3,1,3,60,5.0,B,5,D,4,62,6.4,B,8,72,11.1,B,public,,False
3596,25545,HAZLETON AREA CAREER CENTER                                      ,PA,3,1,2,61,3.2,B,5,D,6,63,9.5,B,10,80,12.5,B,public,,False
3515,24926,EASTERN CENTER FOR ARTS AND TECHNOLOGY-PRACTICAL NURSING         ,PA,3,1,7,65,10.7,A,5,D,10,98,10.2,A,9,84,10.7,A,public,,False
3590,25500,CLARION COUNTY CAREER CENTER PRACTICAL NURSING                   ,PA,3,1,10,50,20.0,A,5,D,12,85,14.1,B,3,35,8.5,A,public,,False
3410,23120,BERGEN COUNTY TECHNICAL SCHOOLS                                  ,NJ,3,1,9,56,16.0,A,5,D,6,38,15.7,A,6,57,10.5,A,public,,False
2769,10826,TOM P. HANEY TECHNICAL CENTER                                    ,FL,4,1,14,52,26.9,B,5,D,22,69,31.8,B,9,37,24.3,A,public,,False
2115,5594,ERWIN TECHNICAL COLLEGE                                          ,FL,4,1,10,58,17.2,B,5,D,33,141,23.4,B,8,33,24.2,A,public,,False
2108,5532,CAPE GIRARDEAU CAREER AND TECHNOLOGY CENTER                      ,MO,4,1,12,108,11.1,A,5,D,19,140,13.5,A,14,70,20.0,A,public,,False
3307,22456,WARREN COUNTY CAREER CENTER                                      ,OH,4,1,49,184,26.6,A,5,D,43,215,20.0,A,30,114,26.3,A,public,,False
2057,5265,NORTH CENTRAL KANSAS TECHNICAL COLLEGE                           ,KS,4,1,34,315,10.7,A,5,D,53,337,15.7,A,44,323,13.6,A,public,,False
3456,23367,CUYAHOGA VALLEY CAREER CENTER                                    ,OH,4,1,9,80,11.2,A,5,D,8,87,9.1,A,4,85,4.7,A,public,,False
2081,5359,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY - NASHVILLE              ,TN,4,1,76,309,24.5,B,5,D,17,71,23.9,A,55,222,24.7,A,public,,False
2080,5339,METRO TECHNOLOGY CENTERS SCHOOL DISTRICT #22                     ,OK,4,1,49,294,16.6,P,5,D,49,308,15.9,P,61,310,19.6,P,public,,False
1951,4117,GRADY HEALTH SYSTEM                                              ,GA,4,1,2,30,6.6,A,5,D,1,34,2.9,A,1,48,2.0,A,public,,False
3269,22227,FRANCIS TUTTLE TECHNOLOGY CENTER SCHOOL DISTRICT NO. 21          ,OK,4,1,21,191,10.9,A,5,D,44,308,14.2,A,52,324,16.0,A,public,,False
2447,8437,CHAMPLAIN VALLEY EDUCATIONAL SERVICES                            ,NY,4,1,7,71,9.8,B,5,D,7,74,9.4,B,8,71,11.2,B,public,,False
3668,26038,LORAIN COUNTY JVS ADULT CAREER CENTER                            ,OH,4,1,1,38,2.6,A,5,D,4,31,12.9,A,8,47,17.0,A,public,,False
3688,26200,SANDUSKY CAREER CENTER                                           ,OH,4,1,16,66,24.2,A,5,D,7,78,8.9,A,12,77,15.5,A,public,,False
3722,30153,EHOVE CAREER CENTER                                              ,OH,4,1,18,175,10.2,A,5,D,34,184,18.4,A,28,198,14.1,A,public,,False
3732,30237,MADISON ADULT CAREER CENTER                                      ,OH,4,1,7,83,8.4,A,5,D,5,77,6.4,A,6,64,9.3,A,public,,False
2089,5387,NORTHCENTRAL TECHNICAL COLLEGE                                   ,WI,4,1,278,1339,20.7,P,5,D,255,1277,19.9,P,220,1022,21.5,P,public,,False
2161,6478,MERCY SCHOOL OF NURSING                                          ,NC,4,1,3,52,5.7,A,5,D,2,52,3.8,A,0,42,0.0,A,public,2012,False
2095,5429,ROLLA TECHNICAL INSTITUTE CENTER                                 ,MO,4,1,8,90,8.8,A,5,D,12,95,12.6,A,8,79,10.1,A,public,,False
2681,10147,WESTERN SUFFOLK BOCES                                            ,NY,4,1,11,125,8.8,A,5,D,21,182,11.5,A,10,169,5.9,A,public,,False
3227,21963,COLLINS CAREER TECHNICAL CENTER                                  ,OH,4,1,52,229,22.7,A,5,D,27,221,12.2,A,38,283,13.4,A,public,,False
3267,22208,CAREER & TECHNOLOGY EDUCATION CENTERS OF LICKING COUNTY          ,OH,4,1,19,94,20.2,A,5,D,15,74,20.2,A,1,7,14.2,B,public,,False
1988,4711,STATE TECHNICAL COLLEGE OF MISSOURI                              ,MO,5,1,39,445,8.7,A,5,D,51,485,10.5,A,34,444,7.6,A,public,,False
2018,4926,TRI-COUNTY TECHNICAL COLLEGE                                     ,SC,5,1,171,1066,16.0,A,5,D,187,1093,17.1,A,240,1148,20.9,A,public,,False
1955,4481,OHLONE COLLEGE                                                   ,CA,5,1,18,127,14.1,A,5,D,30,159,18.8,A,15,116,12.9,A,public,,False
2014,4920,TRIDENT TECHNICAL COLLEGE                                        ,SC,5,1,798,4928,16.1,P,5,D,1006,4914,20.4,P,796,4193,18.9,P,public,,False
1989,4713,THREE RIVERS COLLEGE                                             ,MO,5,1,198,851,23.2,A,5,D,247,920,26.8,A,199,704,28.2,A,public,,False
1936,4024,GEORGIA NORTHWESTERN TECHNICAL COLLEGE                           ,GA,5,1,243,961,25.2,P,5,D,218,783,27.8,P,46,202,22.7,P,public,,False
1953,4453,EL CENTRO COLLEGE                                                ,TX,5,1,239,1135,21.0,A,5,D,203,1013,20.0,A,128,688,18.6,A,public,,False
2017,4925,HORRY - GEORGETOWN TECHNICAL COLLEGE                             ,SC,5,1,487,2941,16.5,A,5,D,556,2673,20.8,A,462,2286,20.2,A,public,,False
1957,4502,CITY COLLEGE OF SAN FRANCISCO                                    ,CA,5,1,213,1049,20.3,P,5,D,213,1139,18.7,P,186,1116,16.6,P,public,,False
1638,3546,COASTAL BEND COLLEGE                                             ,TX,5,1,81,459,17.6,A,3,D,88,457,19.2,A,135,599,22.5,A,public,,False
2052,5252,RIDGEWATER COLLEGE                                               ,MN,5,1,202,1409,14.3,P,5,D,171,1389,12.3,P,243,1540,15.7,P,public,,False
2112,5537,SOUTH CENTRAL COLLEGE                                            ,MN,5,1,175,1248,14.0,A,5,D,152,1257,12.0,A,196,1337,14.6,A,public,,False
2104,5500,MANHATTAN AREA TECHNICAL COLLEGE                                 ,KS,5,1,41,340,12.0,A,5,D,36,319,11.2,A,27,264,10.2,A,public,,False
2103,5499,SALINA AREA TECHNICAL COLLEGE                                    ,KS,5,1,3,100,3.0,A,5,D,8,139,5.7,A,19,109,17.4,A,public,,False
2102,5498,WICHITA AREA TECHNICAL COLLEGE                                   ,KS,5,1,259,1201,21.5,A,5,D,214,1008,21.2,A,189,897,21.0,A,public,,False
2091,5390,BLACKHAWK TECHNICAL COLLEGE                                      ,WI,5,1,228,1189,19.1,A,5,D,214,1145,18.6,A,198,1079,18.3,A,public,,False
2090,5389,GATEWAY TECHNICAL COLLEGE                                        ,WI,5,1,689,2712,25.4,P,5,D,672,2485,27.0,P,522,2190,23.8,P,public,,False
2088,5384,NICOLET AREA TECHNICAL COLLEGE                                   ,WI,5,1,117,419,27.9,P,5,D,73,379,19.2,P,81,358,22.6,P,public,,False
2087,5380,MID-STATE TECHNICAL COLLEGE                                      ,WI,5,1,167,931,17.9,A,5,D,208,1037,20.0,A,166,1042,15.9,A,public,,False
