,opeid,name,state,prog-length,school-type-num,dual-num-2014,dual-denom-2014,drate-2014,prate-2014,ethnic-code,program,dual-num-2013,dual-denom-2013,drate-2013,prate-2013,dual-num-2012,dual-denom-2012,drate-2012,prate-2012,school-type-label,non_default,community-schools
3523,24978,GREENE COUNTY CAREER CENTER                                      ,OH,2,1,17,78,21.7,A,5,D,16,72,22.2,A,13,65,20.0,A,public,,False
3221,21921,BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS                 ,OH,3,1,36,228,15.7,P,5,D,41,249,16.4,P,42,327,12.8,P,public,,False
3125,21407,CANTON CITY SCHOOL DISTRICT ADULT CAREER & TECHNICAL EDUCATION   ,OH,3,1,14,78,17.9,A,5,D,6,63,9.5,A,8,75,10.6,A,public,,False
3128,21422,LEX LA RAY TECHNICAL CENTER                                      ,MO,3,1,3,82,3.6,B,5,D,2,30,6.6,A,10,77,12.9,B,public,,False
3134,21458,CAYUGA ONONDAGA BOCES                                            ,NY,3,1,3,33,9.0,A,5,D,3,33,9.0,A,5,33,15.1,A,public,,False
3135,21460,WAYNE - FINGER LAKES BOCES                                       ,NY,3,1,19,149,12.7,A,5,D,10,122,8.1,A,16,149,10.7,A,public,,False
3142,21515,CENTRAL SUSQUEHANNA LPN CAREER CENTER                            ,PA,3,1,6,72,8.3,A,5,D,4,72,5.5,A,6,73,8.2,A,public,,False
3145,21536,BROOME DELAWARE TIOGA BOCES PROGRAM OF PRACTICAL NURSING         ,NY,3,1,11,89,12.3,B,5,D,5,31,16.1,A,5,34,14.7,A,public,,False
3149,21562,TECHNICAL COLLEGE OF THE ROCKIES                                 ,CO,3,1,7,89,7.8,A,5,D,15,83,18.0,A,15,81,18.5,A,public,,False
3153,21582,WASHINGTON SARATOGA WARREN HAMILTON ESSEX BOCES                  ,NY,3,1,1,40,2.5,P,5,D,5,54,9.2,P,7,61,11.4,P,public,,False
3154,21583,MIFFLIN COUNTY ACADEMY OF SCIENCE AND TECHNOLOGY                 ,PA,3,1,3,38,7.8,A,5,D,2,44,4.5,A,4,39,10.2,A,public,,False
3179,21696,CLEARFIELD COUNTY CAREER AND TECHNOLOGY CENTER                   ,PA,3,1,7,48,14.5,A,5,D,7,52,13.4,A,2,50,4.0,A,public,,False
3180,21699,ASSABET VALLEY REGIONAL VOCATIONAL SCHOOL                        ,MA,3,1,0,32,0.0,A,5,D,3,31,9.6,A,10,77,12.9,B,public,2014,False
3182,21702,ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PRO,NY,3,1,12,125,9.6,A,5,D,14,145,9.6,A,13,120,10.8,A,public,,False
3186,21721,HAMILTON - FULTON - MONTGOMERY BOCES                             ,NY,3,1,14,83,16.8,B,5,D,4,32,12.5,A,13,59,22.0,B,public,,False
3188,21728,DUTCHESS BOCES SCHOOL OF PRACTICAL NURSING                       ,NY,3,1,18,102,17.6,A,5,D,13,89,14.6,A,11,85,12.9,A,public,,False
3190,21739,ULSTER COUNTY BOCES SCHOOL OF PRACTICAL NURSING                  ,NY,3,1,10,65,15.3,A,5,D,8,86,9.3,A,19,116,16.3,A,public,,False
3199,21794,EASTERN SUFFOLK BOCES                                            ,NY,3,1,20,202,9.9,A,5,D,10,142,7.0,A,22,335,6.5,A,public,,False
3366,22825,LENAPE TECHNICAL SCHOOL                                          ,PA,3,1,1,52,1.9,A,5,D,6,76,7.8,A,2,72,2.7,A,public,,False
3346,22729,ROCKLAND COUNTY BOCES ADULT EDUCATION                            ,NY,3,1,6,63,9.5,A,5,D,4,65,6.1,A,5,82,6.0,A,public,,False
3331,22637,MIAMI VALLEY CAREER TECHNOLOGY CENTER                            ,OH,3,1,18,191,9.4,A,5,D,31,185,16.7,A,22,204,10.7,A,public,,False
2407,8132,TOLEDO PUBLIC SCHOOLS ADULT AND CONTINUING EDUCATION             ,OH,3,1,16,116,13.7,A,5,D,15,98,15.3,A,15,96,15.6,A,public,,False
3300,22424,HENRICO COUNTY-SAINT MARY'S HOSPITAL SCHOOL OF PRACTICAL NURSING ,VA,3,1,5,48,10.4,B,5,D,1,39,2.5,B,2,40,5.0,B,public,,False
3291,22356,ERIE 2 - CHAUTAUQUA - CATTARAUGUS BOCES                          ,NY,3,1,11,70,15.7,P,5,D,15,104,14.4,P,2,75,2.6,P,public,,False
3107,21263,MADISON ONEIDA BOCES PRACTICAL NURSING PROGRAM                   ,NY,3,1,6,50,12.0,A,5,D,5,60,8.3,A,21,163,12.8,B,public,,False
3285,22325,UNION COUNTY VOCATIONAL TECHNICAL SCHOOLS                        ,NJ,3,1,7,65,10.7,B,5,D,5,73,6.8,B,14,80,17.5,B,public,,False
3241,22034,NEVADA REGIONAL TECHNICAL CENTER                                 ,MO,3,1,6,59,10.1,B,5,D,8,61,13.1,B,14,62,22.5,B,public,,False
3231,21993,ORLEANS NIAGARA BOCES                                            ,NY,3,1,14,94,14.8,B,5,D,9,86,10.4,B,5,40,12.5,A,public,,False
2667,10055,CRAWFORD COUNTY CAREER & TECHNICAL CENTER                        ,PA,3,1,2,32,6.2,A,5,D,9,76,11.8,B,12,72,16.6,B,public,,False
3217,21890,MID-EAST CAREER AND TECHNOLOGY CENTERS - ADULT EDUCATION         ,OH,3,1,36,178,20.2,A,5,D,37,177,20.9,A,28,188,14.8,A,public,,False
3214,21881,NORTHLAND CAREER CENTER                                          ,MO,3,1,6,88,6.8,B,5,D,1,31,3.2,A,12,87,13.7,B,public,,False
